name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
Corey Julks,OF/UTL,"July 31, 2023",2700,HOU,CLE,0,3.5,9.78,8.13,Noah Syndergaard,CLE,68.05,31.4,87.8,37.3,4.3,0.732,0.405,7.16,20.4,4.7
Andruw Monasterio,SS/2B/3B/UTL,"July 31, 2023",2700,MIL,WSH,6.5,3.5,9.25,7.28,Jake Irvin,WSH,63.1,31.4,86.1,27.7,4.3,0.714,0.354,4.96,27.7,4.2
Alejandro Kirk,C1B/UTL,"July 31, 2023",2500,TOR,BAL,6,3.5,8.93,6.42,Kyle Gibson,BAL,36.775,32.6,87.2,36.3,4.4,0.61,0.298,4.77,45.5,4.6
Dominic Smith,C1B/UTL,"July 31, 2023",2300,WSN,MIL,3,3.5,7.79,7.1,Corbin Burnes,MIL,55.85,40,86.3,28.8,5.5,0.68,0.348,3.73,70.9,4.2
Ildemaro Vargas,2B/SS/3B/UTL,"July 31, 2023",2200,WSN,MIL,0,3.5,7.26,6.11,Corbin Burnes,MIL,60.825,30.2,87.8,31.3,4.2,0.715,0.41,3.73,70.9,4.2
Isan Diaz,2B/UTL,"July 31, 2023",2000,SFG,ARI,3,3.5,7.18,0,Ryne Nelson,ARI,0,0,91.5,0,0,0,0,4.98,33.1,4.7
Ronald Acuna Jr.,OF/UTL,"July 31, 2023",4700,ATL,LAA,3,3.4,16.15,16.58,Chase Silseth,LAA,97.35,91.8,94.8,55.1,15.5,1.007,0.593,3.99,70,5.6
Shohei Ohtani,OF/UTL,"July 31, 2023",4600,LAA,ATL,12,3.4,13.76,15.55,Charlie Morton,ATL,96.1,95.1,93.8,52.3,18.8,1.051,0.665,3.2,71.9,5
Fernando Tatis Jr.,OF/UTL,"July 31, 2023",4500,SDP,COL,0,3.4,17.45,12.86,Austin Gomber,COL,86.825,69.8,92,49.2,9.8,0.863,0.521,6.19,19.6,4.5
Yordan Alvarez,OF/UTL,"July 31, 2023",4000,HOU,CLE,28.7,3.4,13.07,13.89,Noah Syndergaard,CLE,92.725,95.1,93.4,55.7,18.8,0.978,0.589,7.16,20.4,4.7
Ozzie Albies,2B/UTL,"July 31, 2023",3900,ATL,LAA,3,3.4,13.2,11.75,Chase Silseth,LAA,78.25,61.1,88.9,38,8.3,0.838,0.516,3.99,70,5.6
Austin Riley,3B/UTL,"July 31, 2023",3800,ATL,LAA,6,3.4,12.38,11.73,Chase Silseth,LAA,69.125,72.1,91.8,47.6,10.3,0.763,0.437,3.99,70,5.6
Josh Naylor,C1B/UTL,"July 31, 2023",3400,CLE,HOU,3,3.4,10.48,11.11,J.P. France,HOU,88,67,90,45.3,9.3,0.844,0.495,3.31,51.1,4
Bo Bichette,SS/UTL,"July 31, 2023",3300,TOR,BAL,6,3.4,11.15,10.58,Kyle Gibson,BAL,87.75,71,91.3,46.4,10,0.842,0.497,4.77,45.5,4.6
Nico Hoerner,2B/SS/UTL,"July 31, 2023",3300,CHC,CIN,18.2,3.4,10.27,11.49,Andrew Abbott,CIN,59.3,19,86.4,33.1,1.9,0.7,0.377,2.45,81.4,4.7
Ian Happ,OF/UTL,"July 31, 2023",3200,CHC,CIN,3.5,3.4,9.79,10.17,Andrew Abbott,CIN,65.7,57.1,89.8,37.8,7.6,0.752,0.379,2.45,81.4,4.7
Trent Grisham,OF/UTL,"July 31, 2023",3200,SDP,COL,18.7,3.4,11.06,8.51,Austin Gomber,COL,55,88.7,91.1,41.4,14.1,0.728,0.401,6.19,19.6,4.5
Lane Thomas,OF/UTL,"July 31, 2023",3200,WSN,MIL,16.2,3.4,9.6,11.14,Corbin Burnes,MIL,86.425,63,88.1,40.5,8.6,0.838,0.49,3.73,70.9,4.2
Josh Lowe,OF/UTL,"July 31, 2023",3100,TBR,NYY,18.7,3.4,11.13,10.7,Jhony Brito,NYY,73.8,75.4,88.9,39.7,11.1,0.794,0.483,4.7,32.6,5.4
Luke Raley,OF/C1B/UTL,"July 31, 2023",3100,TBR,NYY,15,3.4,12.01,10.28,Jhony Brito,NYY,90.075,91.4,91.5,47.7,15.4,0.931,0.572,4.7,32.6,5.4
Andres Gimenez,2B/UTL,"July 31, 2023",3000,CLE,HOU,0,3.4,10.79,9.11,J.P. France,HOU,52.7,34,84.6,23.9,4.6,0.695,0.38,3.31,51.1,4
Joey Votto,C1B/UTL,"July 31, 2023",3000,CIN,CHC,12.7,3.4,9.23,10.5,Marcus Stroman,CHC,79.725,98.1,91.3,47.6,21.4,0.951,0.6,2.88,75.4,4.9
Zach Neto,SS/UTL,"July 31, 2023",2900,LAA,ATL,0,3.4,8.42,9.03,Charlie Morton,ATL,63.275,71.4,90,40.9,10.1,0.749,0.426,3.2,71.9,5
Daulton Varsho,OF/UTL,"July 31, 2023",2700,TOR,BAL,9.2,3.4,10.01,7.74,Kyle Gibson,BAL,34.9,53.1,87.9,38.5,7.3,0.644,0.365,4.77,45.5,4.6
